id,nome,bandeira,endereco,bairro,cidade,estado,cep,latitude,longitude,preco_gasolina,preco_alcool,preco_diesel,preco_gnv,data_coleta,fonte,fontes
ANP_CE_Cidade_7_-_CE_6,Posto Ale 7,Ale,"Av. Principal, 5350",Bairro 8,Cidade 7,CE,48839-511,-3.9908981002347983,-38.60106675298282,"5,65","3,51","5,94",N/A,2025-05-18,ANP,
PC_CE_Cidade_PC_14_-_CE_0,Auto Posto Shell Cidade PC 14 1,Shell,"Rua Principal, 1645",Bairro PC 5,Cidade PC 14,CE,69813-905,-3.9096232373705027,-38.60953991414572,"5,91","3,87","5,56",N/A,2025-05-18,PrecosCombustiveis,
ANP_CE_Cidade_1_-_CE_7,Posto Shell 8,Shell,"Av. Principal, 1751",Bairro 1,Cidade 1,CE,88524-755,-3.331901543121371,-39.02977255573041,"6,02","4,64","4,54",N/A,2025-05-18,ANP,
ANP_CE_Cidade_1_-_CE_8,Posto Ipiranga 9,Ipiranga,"Av. Principal, 4244",Bairro 8,Cidade 1,CE,30157-357,-3.270520548322225,-38.086564926292326,"6,42","3,66","5,32",N/A,2025-05-18,ANP,
ANP_CE_Cidade_1_-_CE_9,Posto Ipiranga 10,Ipiranga,"Av. Principal, 8274",Bairro 9,Cidade 1,CE,42386-461,-4.001935655220895,-38.294743425400554,"5,59","4,41","4,57","4,34",2025-05-18,ANP,"['ANP', 'PrecosCombustiveis']"
ANP_CE_Cidade_11_-_CE_18,Posto Bandeira Branca 19,Bandeira Branca,"Av. Principal, 4317",Bairro 1,Cidade 11,CE,43912-812,-4.072409806105919,-38.298773050671834,"5,50","4,62","5,45",N/A,2025-05-18,ANP,
PC_CE_Cidade_PC_12_-_CE_2,Auto Posto Ale Cidade PC 12 3,Ale,"Rua Comercial, 3236",Bairro PC 1,Cidade PC 12,CE,61905-936,-4.063996746326222,-38.20610059891088,"5,25","3,63","5,30","3,35",2025-05-18,PrecosCombustiveis,
ANP_CE_Cidade_1_-_CE_10,Posto Shell 11,Shell,"Av. Principal, 2164",Bairro 8,Cidade 1,CE,90431-161,-3.6861275422149404,-38.92947376333203,"5,62","3,57","5,02",N/A,2025-05-18,ANP,['ANP']
ANP_CE_Cidade_4_-_CE_10,Posto Ipiranga 11,Ipiranga,"Av. Principal, 2457",Bairro 9,Cidade 4,CE,47503-537,-3.6130868539098606,-38.974613312073366,"5,12","4,64","5,09",N/A,2025-05-18,ANP,"['ANP', 'PrecosCombustiveis']"
ANP_CE_Cidade_8_-_CE_6,Posto Raízen 7,Raízen,"Av. Principal, 9106",Bairro 8,Cidade 8,CE,77632-688,-3.691334666472617,-38.98264846034768,"5,36","4,39","5,94",N/A,2025-05-18,ANP,
PC_CE_Cidade_PC_2_-_CE_5,Auto Posto Bandeira Branca Cidade PC 2 6,Bandeira Branca,"Rua Principal, 8416",Bairro PC 2,Cidade PC 2,CE,41028-541,-3.601366707347226,-38.9007554441705,"6,04","4,07","5,00","3,16",2025-05-18,PrecosCombustiveis,['PrecosCombustiveis']
ANP_CE_Cidade_1_-_CE_11,Posto Petrobras 12,Petrobras,"Av. Principal, 2200",Bairro 4,Cidade 1,CE,94655-828,-4.077055379440568,-38.407008612742786,"6,00","3,57","5,45","4,31",2025-05-18,ANP,"['ANP', 'PrecosCombustiveis']"
ANP_CE_Cidade_2_-_CE_5,Posto Petrobras 6,Petrobras,"Av. Principal, 4452",Bairro 5,Cidade 2,CE,35576-383,-4.032446420677163,-38.485314042697084,"5,95","3,54","5,97",N/A,2025-05-18,ANP,"['ANP', 'PrecosCombustiveis']"
ANP_CE_Cidade_1_-_CE_13,Posto Petrobras 14,Petrobras,"Av. Principal, 7178",Bairro 9,Cidade 1,CE,55532-906,-4.001864958663235,-38.14783288373662,"6,32","4,82","5,21","3,44",2025-05-18,ANP,"['ANP', 'PrecosCombustiveis']"
ANP_CE_Cidade_3_-_CE_6,Posto Shell 7,Shell,"Av. Principal, 8180",Bairro 9,Cidade 3,CE,36494-929,-4.088343386470884,-38.1539865165397,"6,32","4,55","4,91","3,96",2025-05-18,ANP,"['ANP', 'PrecosCombustiveis']"
ANP_CE_Cidade_1_-_CE_14,Posto Ale 15,Ale,"Av. Principal, 9899",Bairro 5,Cidade 1,CE,35952-750,-4.200898641016765,-38.46394071200234,"5,70","3,58","4,95",N/A,2025-05-18,ANP,
ANP_CE_Cidade_1_-_CE_16,Posto Bandeira Branca 17,Bandeira Branca,"Av. Principal, 2064",Bairro 1,Cidade 1,CE,44605-926,-3.7677960518143068,-38.86924547123789,"5,99","3,53","6,00","3,76",2025-05-18,ANP,"['ANP', 'PrecosCombustiveis']"
ANP_CE_Cidade_1_-_CE_17,Posto Raízen 18,Raízen,"Av. Principal, 6271",Bairro 8,Cidade 1,CE,55169-130,-3.427978687776139,-38.28048732801756,"6,41","4,00","5,51","3,97",2025-05-18,ANP,"['ANP', 'PrecosCombustiveis']"
ANP_CE_Cidade_6_-_CE_16,Posto Raízen 17,Raízen,"Av. Principal, 6722",Bairro 3,Cidade 6,CE,13981-598,-3.4856257689190717,-38.277000679115794,"5,76","4,61","5,14",N/A,2025-05-18,ANP,"['ANP', 'PrecosCombustiveis']"
ANP_CE_Cidade_1_-_CE_18,Posto Petrobras 19,Petrobras,"Av. Principal, 9957",Bairro 9,Cidade 1,CE,38034-977,-4.08266171335531,-38.57199170486825,"6,50","4,49","5,97","3,64",2025-05-18,ANP,"['ANP', 'PrecosCombustiveis']"
ANP_CE_Cidade_7_-_CE_5,Posto Ipiranga 6,Ipiranga,"Av. Principal, 3644",Bairro 7,Cidade 7,CE,95364-728,-4.037879766591998,-38.51196314648871,"6,33","3,79","4,59",N/A,2025-05-18,ANP,
PC_CE_Cidade_PC_23_-_CE_9,Auto Posto Ipiranga Cidade PC 23 10,Ipiranga,"Rua Principal, 7728",Bairro PC 8,Cidade PC 23,CE,44874-170,-4.029645989605069,-38.59668910594658,"5,54","4,24","5,52",N/A,2025-05-18,PrecosCombustiveis,
ANP_CE_Cidade_2_-_CE_0,Posto Petrobras 1,Petrobras,"Av. Principal, 3445",Bairro 5,Cidade 2,CE,68581-191,-3.90697311031668,-38.900530707853534,"6,42","3,62","5,89",N/A,2025-05-18,ANP,"['ANP', 'PrecosCombustiveis']"
ANP_CE_Cidade_11_-_CE_1,Posto Ipiranga 2,Ipiranga,"Av. Principal, 110",Bairro 5,Cidade 11,CE,17872-579,-3.99933434370132,-38.95429481325993,"6,26","4,30","4,76",N/A,2025-05-18,ANP,"['ANP', 'PrecosCombustiveis']"
ANP_CE_Cidade_2_-_CE_2,Posto Bandeira Branca 3,Bandeira Branca,"Av. Principal, 4065",Bairro 1,Cidade 2,CE,18705-933,-3.5694898175441403,-38.63215475082614,"5,06","4,77","4,72","3,21",2025-05-18,ANP,"['ANP', 'PrecosCombustiveis']"
PC_CE_Cidade_PC_9_-_CE_12,Auto Posto Ale Cidade PC 9 13,Ale,"Rua Comercial, 2686",Bairro PC 8,Cidade PC 9,CE,25489-556,-3.5085316523600585,-38.648192853721866,"6,26","3,62","5,90",N/A,2025-05-18,PrecosCombustiveis,
ANP_CE_Cidade_2_-_CE_3,Posto Ipiranga 4,Ipiranga,"Av. Principal, 1612",Bairro 9,Cidade 2,CE,15866-241,-3.4743203220180705,-38.06417838436088,"5,78","3,92","5,84",N/A,2025-05-18,ANP,['ANP']
ANP_CE_Cidade_2_-_CE_4,Posto Ale 5,Ale,"Av. Principal, 1311",Bairro 9,Cidade 2,CE,42093-850,-4.160989171640582,-38.57958415068397,"5,32","4,30","5,82",N/A,2025-05-18,ANP,['ANP']
ANP_CE_Cidade_2_-_CE_6,Posto Bandeira Branca 7,Bandeira Branca,"Av. Principal, 611",Bairro 4,Cidade 2,CE,93991-765,-3.9377369386175363,-38.899049116299935,"6,44","4,91","4,57",N/A,2025-05-18,ANP,"['ANP', 'PrecosCombustiveis']"
ANP_CE_Cidade_11_-_CE_0,Posto Bandeira Branca 1,Bandeira Branca,"Av. Principal, 6784",Bairro 10,Cidade 11,CE,99418-324,-3.9427958799428904,-38.81733454903205,"6,41","4,00","4,73",N/A,2025-05-18,ANP,
ANP_CE_Cidade_2_-_CE_7,Posto Raízen 8,Raízen,"Av. Principal, 304",Bairro 6,Cidade 2,CE,22037-756,-3.219325877174037,-38.37639781419897,"5,54","3,59","5,55",N/A,2025-05-18,ANP,['ANP']
ANP_CE_Cidade_2_-_CE_8,Posto Shell 9,Shell,"Av. Principal, 7619",Bairro 6,Cidade 2,CE,55178-861,-3.8977648627542774,-38.07687478992401,"5,73","3,65","5,23",N/A,2025-05-18,ANP,['ANP']
ANP_CE_Cidade_3_-_CE_0,Posto Shell 1,Shell,"Av. Principal, 3874",Bairro 2,Cidade 3,CE,20759-450,-4.127528450438442,-38.7061223033508,"5,70","3,89","4,57","4,20",2025-05-18,ANP,"['ANP', 'PrecosCombustiveis']"
ANP_CE_Cidade_3_-_CE_1,Posto Ale 2,Ale,"Av. Principal, 8175",Bairro 8,Cidade 3,CE,96346-711,-3.8218243006160386,-38.700614927573476,"5,30","4,57","4,97",N/A,2025-05-18,ANP,"['ANP', 'PrecosCombustiveis']"
ANP_CE_Cidade_7_-_CE_0,Posto Bandeira Branca 1,Bandeira Branca,"Av. Principal, 2928",Bairro 4,Cidade 7,CE,86877-715,-3.8976860766351913,-38.73870048057437,"5,30","4,24","5,05","3,98",2025-05-18,ANP,"['ANP', 'PrecosCombustiveis']"
PC_CE_Cidade_PC_8_-_CE_2,Auto Posto Ale Cidade PC 8 3,Ale,"Rua Principal, 9980",Bairro PC 1,Cidade PC 8,CE,30088-251,-3.801649973150718,-38.78618973632845,"6,06","4,61","4,72","3,93",2025-05-18,PrecosCombustiveis,['PrecosCombustiveis']
ANP_CE_Cidade_3_-_CE_2,Posto Shell 3,Shell,"Av. Principal, 8344",Bairro 1,Cidade 3,CE,85156-541,-3.7896831785348284,-38.642974190081816,"5,74","3,90","4,96","4,27",2025-05-18,ANP,"['ANP', 'PrecosCombustiveis']"
ANP_CE_Cidade_3_-_CE_3,Posto Petrobras 4,Petrobras,"Av. Principal, 8388",Bairro 9,Cidade 3,CE,33317-621,-4.092898865716535,-38.77591992271536,"5,11","3,64","5,65","3,26",2025-05-18,ANP,"['ANP', 'PrecosCombustiveis']"
ANP_CE_Cidade_11_-_CE_7,Posto Raízen 8,Raízen,"Av. Principal, 4560",Bairro 5,Cidade 11,CE,87999-240,-4.007415658835899,-38.747050714990685,"5,74","4,20","4,77",N/A,2025-05-18,ANP,['ANP']
ANP_CE_Cidade_3_-_CE_5,Posto Bandeira Branca 6,Bandeira Branca,"Av. Principal, 6943",Bairro 6,Cidade 3,CE,49814-405,-3.387158659405344,-38.755790291052605,"5,27","4,64","5,84",N/A,2025-05-18,ANP,
ANP_CE_Cidade_3_-_CE_7,Posto Raízen 8,Raízen,"Av. Principal, 719",Bairro 9,Cidade 3,CE,71195-748,-3.7677987902004344,-38.2117786129306,"5,49","4,27","4,84","3,59",2025-05-18,ANP,"['ANP', 'PrecosCombustiveis']"
ANP_CE_Cidade_5_-_CE_11,Posto Bandeira Branca 12,Bandeira Branca,"Av. Principal, 3806",Bairro 7,Cidade 5,CE,53325-798,-3.716807934763901,-38.21331549916313,"5,77","4,42","5,00",N/A,2025-05-18,ANP,
PC_CE_Cidade_PC_15_-_CE_4,Auto Posto Shell Cidade PC 15 5,Shell,"Rua Principal, 5624",Bairro PC 5,Cidade PC 15,CE,90799-306,-3.727126118639136,-38.29586628026591,"5,60","4,22","5,60","3,75",2025-05-18,PrecosCombustiveis,['PrecosCombustiveis']
ANP_CE_Cidade_4_-_CE_1,Posto Shell 2,Shell,"Av. Principal, 8049",Bairro 6,Cidade 4,CE,48940-502,-3.4160681733755025,-38.81509853555371,"6,16","4,66","6,00",N/A,2025-05-18,ANP,
ANP_CE_Cidade_4_-_CE_2,Posto Shell 3,Shell,"Av. Principal, 5264",Bairro 6,Cidade 4,CE,76442-506,-3.3786984932127506,-38.81997534917262,"5,36","4,97","5,80",N/A,2025-05-18,ANP,
PC_CE_Cidade_PC_9_-_CE_7,Auto Posto Raízen Cidade PC 9 8,Raízen,"Rua Principal, 9603",Bairro PC 2,Cidade PC 9,CE,83715-343,-3.371346234808785,-38.89861335649951,"5,35","4,63","5,21","4,38",2025-05-18,PrecosCombustiveis,
ANP_CE_Cidade_4_-_CE_3,Posto Ale 4,Ale,"Av. Principal, 5955",Bairro 5,Cidade 4,CE,74129-638,-3.884597730874684,-38.64416101267876,"5,90","4,62","5,91",N/A,2025-05-18,ANP,"['ANP', 'PrecosCombustiveis']"
ANP_CE_Cidade_4_-_CE_5,Posto Ipiranga 6,Ipiranga,"Av. Principal, 356",Bairro 6,Cidade 4,CE,10251-591,-4.04064994125106,-38.819702790868575,"6,47","4,12","4,56","4,20",2025-05-18,ANP,"['ANP', 'PrecosCombustiveis']"
ANP_CE_Cidade_7_-_CE_4,Posto Shell 5,Shell,"Av. Principal, 4833",Bairro 9,Cidade 7,CE,89099-544,-4.045966353430101,-38.88930552297252,"6,23","4,41","5,51",N/A,2025-05-18,ANP,
ANP_CE_Cidade_4_-_CE_6,Posto Bandeira Branca 7,Bandeira Branca,"Av. Principal, 8906",Bairro 8,Cidade 4,CE,55844-968,-3.2942358690757154,-38.269197252458476,"5,22","4,12","5,76",N/A,2025-05-18,ANP,
ANP_CE_Cidade_4_-_CE_7,Posto Shell 8,Shell,"Av. Principal, 8733",Bairro 6,Cidade 4,CE,30613-404,-4.163047339920778,-38.430155841180316,"6,19","4,80","4,63",N/A,2025-05-18,ANP,['ANP']
ANP_CE_Cidade_5_-_CE_9,Posto Shell 10,Shell,"Av. Principal, 1365",Bairro 1,Cidade 5,CE,98037-761,-4.103878123742296,-38.475908034077726,"5,69","3,81","4,87",N/A,2025-05-18,ANP,
ANP_CE_Cidade_4_-_CE_8,Posto Raízen 9,Raízen,"Av. Principal, 7742",Bairro 4,Cidade 4,CE,38530-951,-3.2282934579933857,-38.923608650560915,"5,87","4,93","5,03",N/A,2025-05-18,ANP,['ANP']
ANP_CE_Cidade_4_-_CE_9,Posto Raízen 10,Raízen,"Av. Principal, 2044",Bairro 3,Cidade 4,CE,67159-256,-3.2712066968121913,-38.47788707750936,"5,90","3,53","5,03",N/A,2025-05-18,ANP,
ANP_CE_Cidade_4_-_CE_12,Posto Ale 13,Ale,"Av. Principal, 6492",Bairro 1,Cidade 4,CE,80293-283,-3.325321629878582,-38.518474737595454,"5,18","3,63","5,86","3,30",2025-05-18,ANP,"['ANP', 'PrecosCombustiveis']"
ANP_CE_Cidade_6_-_CE_8,Posto Raízen 9,Raízen,"Av. Principal, 2999",Bairro 6,Cidade 6,CE,20485-798,-3.3950644407791026,-38.56721601311406,"6,28","4,23","5,27",N/A,2025-05-18,ANP,"['ANP', 'PrecosCombustiveis']"
PC_CE_Cidade_PC_17_-_CE_11,Auto Posto Shell Cidade PC 17 12,Shell,"Rua Comercial, 2487",Bairro PC 10,Cidade PC 17,CE,47299-431,-3.339717999159715,-38.57558048204696,"6,31","4,31","5,99",N/A,2025-05-18,PrecosCombustiveis,
ANP_CE_Cidade_5_-_CE_0,Posto Ipiranga 1,Ipiranga,"Av. Principal, 5850",Bairro 4,Cidade 5,CE,83583-611,-3.2462132749197194,-38.51551744668632,"5,64","4,74","5,53",N/A,2025-05-18,ANP,
ANP_CE_Cidade_5_-_CE_1,Posto Bandeira Branca 2,Bandeira Branca,"Av. Principal, 8474",Bairro 8,Cidade 5,CE,43891-102,-3.643617051778478,-38.200804395779116,"5,77","4,32","4,54","3,66",2025-05-18,ANP,"['ANP', 'PrecosCombustiveis']"
PC_CE_Cidade_PC_13_-_CE_2,Auto Posto Bandeira Branca Cidade PC 13 3,Bandeira Branca,"Rua Comercial, 2178",Bairro PC 9,Cidade PC 13,CE,35460-599,-3.686663950074555,-38.284919238246246,"5,20","4,25","5,07","3,38",2025-05-18,PrecosCombustiveis,['PrecosCombustiveis']
PC_CE_Cidade_PC_22_-_CE_2,Auto Posto Shell Cidade PC 22 3,Shell,"Rua Comercial, 7798",Bairro PC 6,Cidade PC 22,CE,28249-569,-3.614678528622113,-38.29030902675362,"5,44","4,14","5,09",N/A,2025-05-18,PrecosCombustiveis,
ANP_CE_Cidade_5_-_CE_2,Posto Bandeira Branca 3,Bandeira Branca,"Av. Principal, 7793",Bairro 5,Cidade 5,CE,79071-354,-3.663459691908292,-38.12129738264086,"5,96","4,10","4,79","3,37",2025-05-18,ANP,"['ANP', 'PrecosCombustiveis']"
ANP_CE_Cidade_5_-_CE_15,Posto Bandeira Branca 16,Bandeira Branca,"Av. Principal, 3649",Bairro 4,Cidade 5,CE,76646-489,-3.6933077604225915,-38.19998598675152,"5,55","4,57","4,64",N/A,2025-05-18,ANP,
PC_CE_Cidade_PC_3_-_CE_9,Auto Posto Ipiranga Cidade PC 3 10,Ipiranga,"Rua Principal, 8873",Bairro PC 1,Cidade PC 3,CE,66947-494,-3.6340237858473268,-38.186446656375956,"5,76","4,75","5,24",N/A,2025-05-18,PrecosCombustiveis,
ANP_CE_Cidade_5_-_CE_3,Posto Bandeira Branca 4,Bandeira Branca,"Av. Principal, 8905",Bairro 10,Cidade 5,CE,76446-831,-3.8277042174029985,-38.506724769222,"5,80","4,65","5,40",N/A,2025-05-18,ANP,
ANP_CE_Cidade_10_-_CE_6,Posto Shell 7,Shell,"Av. Principal, 7886",Bairro 2,Cidade 10,CE,59408-696,-3.8525199577129747,-38.562704826870934,"6,20","4,80","5,35",N/A,2025-05-18,ANP,"['ANP', 'PrecosCombustiveis']"
ANP_CE_Cidade_5_-_CE_5,Posto Shell 6,Shell,"Av. Principal, 3544",Bairro 1,Cidade 5,CE,81135-643,-3.9365337425961084,-38.77942230512515,"5,59","4,27","5,77",N/A,2025-05-18,ANP,
ANP_CE_Cidade_5_-_CE_6,Posto Bandeira Branca 7,Bandeira Branca,"Av. Principal, 5572",Bairro 10,Cidade 5,CE,86180-587,-3.5444884729819552,-38.11854303479777,"5,09","4,09","4,53",N/A,2025-05-18,ANP,"['ANP', 'PrecosCombustiveis']"
ANP_CE_Cidade_5_-_CE_7,Posto Raízen 8,Raízen,"Av. Principal, 2868",Bairro 6,Cidade 5,CE,76730-901,-3.5030157125530157,-38.30750631177991,"5,50","4,38","5,85","4,07",2025-05-18,ANP,"['ANP', 'PrecosCombustiveis']"
ANP_CE_Cidade_10_-_CE_7,Posto Ale 8,Ale,"Av. Principal, 5950",Bairro 7,Cidade 10,CE,31255-980,-3.505045405510856,-38.38371840990779,"5,72","3,72","4,61",N/A,2025-05-18,ANP,
PC_CE_Cidade_PC_16_-_CE_5,Auto Posto Bandeira Branca Cidade PC 16 6,Bandeira Branca,"Rua Comercial, 919",Bairro PC 5,Cidade PC 16,CE,38508-711,-3.560035326055992,-38.34565177356295,"5,92","4,68","4,78","3,61",2025-05-18,PrecosCombustiveis,
ANP_CE_Cidade_5_-_CE_8,Posto Bandeira Branca 9,Bandeira Branca,"Av. Principal, 2462",Bairro 3,Cidade 5,CE,93166-992,-3.864975483403234,-38.22359843682459,"5,97","4,91","5,55","4,07",2025-05-18,ANP,"['ANP', 'PrecosCombustiveis']"
ANP_CE_Cidade_5_-_CE_10,Posto Ipiranga 11,Ipiranga,"Av. Principal, 6125",Bairro 5,Cidade 5,CE,78320-245,-4.196987827636355,-38.0551657925283,"6,40","4,02","4,68",N/A,2025-05-18,ANP,['ANP']
ANP_CE_Cidade_10_-_CE_0,Posto Bandeira Branca 1,Bandeira Branca,"Av. Principal, 6892",Bairro 2,Cidade 10,CE,85117-786,-4.10487757722667,-38.09754951778114,"5,20","3,92","5,27",N/A,2025-05-18,ANP,
ANP_CE_Cidade_5_-_CE_12,Posto Ipiranga 13,Ipiranga,"Av. Principal, 8158",Bairro 7,Cidade 5,CE,72597-679,-3.416799338634519,-38.14825543022487,"5,68","4,45","4,71","3,46",2025-05-18,ANP,"['ANP', 'PrecosCombustiveis']"
PC_CE_Cidade_PC_7_-_CE_0,Auto Posto Ale Cidade PC 7 1,Ale,"Rua Principal, 8842",Bairro PC 2,Cidade PC 7,CE,63663-854,-3.4952701680928318,-38.15447395245772,"5,59","3,70","4,67","3,48",2025-05-18,PrecosCombustiveis,['PrecosCombustiveis']
ANP_CE_Cidade_5_-_CE_14,Posto Bandeira Branca 15,Bandeira Branca,"Av. Principal, 8617",Bairro 1,Cidade 5,CE,63016-479,-3.9795603403232036,-38.44061010684341,"5,51","4,71","4,59","3,64",2025-05-18,ANP,"['ANP', 'PrecosCombustiveis']"
PC_CE_Cidade_PC_8_-_CE_1,Auto Posto Ale Cidade PC 8 2,Ale,"Rua Comercial, 5194",Bairro PC 5,Cidade PC 8,CE,67807-611,-3.9191859589245115,-38.432022670483434,"5,34","4,66","4,72","3,80",2025-05-18,PrecosCombustiveis,
PC_CE_Cidade_PC_12_-_CE_0,Auto Posto Petrobras Cidade PC 12 1,Petrobras,"Rua Secundária, 7226",Bairro PC 10,Cidade PC 12,CE,78245-680,-3.959489565228954,-38.497316345363345,"6,56","4,82","5,87","3,38",2025-05-18,PrecosCombustiveis,['PrecosCombustiveis']
ANP_CE_Cidade_6_-_CE_0,Posto Petrobras 1,Petrobras,"Av. Principal, 9094",Bairro 5,Cidade 6,CE,32257-980,-3.52965458177198,-38.932175728655416,"5,59","4,08","5,55",N/A,2025-05-18,ANP,"['ANP', 'PrecosCombustiveis']"
ANP_CE_Cidade_6_-_CE_1,Posto Ipiranga 2,Ipiranga,"Av. Principal, 6501",Bairro 2,Cidade 6,CE,29257-500,-3.8406737123409,-38.3067092356846,"6,18","3,88","5,23","3,75",2025-05-18,ANP,"['ANP', 'PrecosCombustiveis']"
ANP_CE_Cidade_11_-_CE_14,Posto Shell 15,Shell,"Av. Principal, 635",Bairro 1,Cidade 11,CE,73990-401,-3.8992800550462006,-38.306724917694986,"5,21","4,02","5,67",N/A,2025-05-18,ANP,
PC_CE_Cidade_PC_16_-_CE_2,Auto Posto Shell Cidade PC 16 3,Shell,"Rua Secundária, 2340",Bairro PC 9,Cidade PC 16,CE,41878-608,-3.846656672209917,-38.37523340034,"5,58","3,98","5,99","4,07",2025-05-18,PrecosCombustiveis,
ANP_CE_Cidade_6_-_CE_2,Posto Shell 3,Shell,"Av. Principal, 4335",Bairro 7,Cidade 6,CE,87348-346,-4.057604991051669,-38.3082560064708,"5,19","4,35","5,31","3,47",2025-05-18,ANP,"['ANP', 'PrecosCombustiveis']"
PC_CE_Cidade_PC_7_-_CE_7,Auto Posto Ale Cidade PC 7 8,Ale,"Rua Principal, 8942",Bairro PC 8,Cidade PC 7,CE,23332-101,-4.000916229777717,-38.301214522449854,"5,61","4,82","5,16","3,86",2025-05-18,PrecosCombustiveis,
PC_CE_Cidade_PC_20_-_CE_6,Auto Posto Ipiranga Cidade PC 20 7,Ipiranga,"Rua Comercial, 9126",Bairro PC 5,Cidade PC 20,CE,11239-796,-4.006677105293296,-38.37105268322823,"5,62","4,50","5,18",N/A,2025-05-18,PrecosCombustiveis,
ANP_CE_Cidade_6_-_CE_3,Posto Ale 4,Ale,"Av. Principal, 5664",Bairro 3,Cidade 6,CE,43267-770,-4.156344570427569,-38.86624907766583,"5,96","3,63","5,05",N/A,2025-05-18,ANP,
ANP_CE_Cidade_6_-_CE_4,Posto Ipiranga 5,Ipiranga,"Av. Principal, 4398",Bairro 6,Cidade 6,CE,99953-495,-3.336922642516839,-38.914962456910736,"6,11","3,85","4,91","3,13",2025-05-18,ANP,"['ANP', 'PrecosCombustiveis']"
ANP_CE_Cidade_6_-_CE_11,Posto Raízen 12,Raízen,"Av. Principal, 5343",Bairro 6,Cidade 6,CE,72990-374,-3.3923800850615646,-38.95655003428789,"6,02","4,85","5,13",N/A,2025-05-18,ANP,
ANP_CE_Cidade_6_-_CE_5,Posto Raízen 6,Raízen,"Av. Principal, 1220",Bairro 7,Cidade 6,CE,24121-169,-3.465809398268511,-38.57617679904007,"5,88","4,21","5,87","4,04",2025-05-18,ANP,"['ANP', 'PrecosCombustiveis']"
ANP_CE_Cidade_9_-_CE_0,Posto Petrobras 1,Petrobras,"Av. Principal, 1875",Bairro 5,Cidade 9,CE,38098-212,-3.413014450647192,-38.53303322537436,"5,04","4,80","5,78",N/A,2025-05-18,ANP,"['ANP', 'PrecosCombustiveis']"
ANP_CE_Cidade_6_-_CE_7,Posto Raízen 8,Raízen,"Av. Principal, 4591",Bairro 2,Cidade 6,CE,32265-101,-4.158943832362682,-38.338067263621646,"5,41","4,27","5,62",N/A,2025-05-18,ANP,
ANP_CE_Cidade_6_-_CE_12,Posto Petrobras 13,Petrobras,"Av. Principal, 8379",Bairro 1,Cidade 6,CE,57190-977,-3.9191759076621002,-39.04309462127448,"6,26","3,80","4,85",N/A,2025-05-18,ANP,
