id,nome,bandeira,endereco,bairro,cidade,estado,cep,latitude,longitude,preco_gasolina,preco_alcool,preco_diesel,preco_gnv,data_coleta,fonte
ANP_CE_Cidade_3_-_CE_5,Posto Bandeira Branca 6,Bandeira Branca,"Av. Principal, 6943",Bairro 6,Cidade 3,CE,49814-405,-3.387158659405344,-38.755790291052605,"5,27","4,64","5,84",N/A,2025-05-18,ANP
ANP_CE_Cidade_3_-_CE_6,Posto Shell 7,Shell,"Av. Principal, 8180",Bairro 9,Cidade 3,CE,36494-929,-4.088343386470884,-38.1539865165397,"6,32","4,55","4,91",N/A,2025-05-18,ANP
ANP_CE_Cidade_3_-_CE_7,Posto Raízen 8,Raízen,"Av. Principal, 719",Bairro 9,Cidade 3,CE,71195-748,-3.7677987902004344,-38.2117786129306,"5,49","4,27","4,84",N/A,2025-05-18,ANP
ANP_CE_Cidade_4_-_CE_0,Posto Shell 1,Shell,"Av. Principal, 4884",Bairro 5,Cidade 4,CE,75579-790,-3.338650263819539,-38.288132966436386,"6,10","4,79","5,06",N/A,2025-05-18,ANP
ANP_CE_Cidade_4_-_CE_1,Posto Shell 2,Shell,"Av. Principal, 8049",Bairro 6,Cidade 4,CE,48940-502,-3.4160681733755025,-38.81509853555371,"6,16","4,66","6,00",N/A,2025-05-18,ANP
ANP_CE_Cidade_4_-_CE_2,Posto Shell 3,Shell,"Av. Principal, 5264",Bairro 6,Cidade 4,CE,76442-506,-3.3786984932127506,-38.81997534917262,"5,36","4,97","5,80",N/A,2025-05-18,ANP
ANP_CE_Cidade_4_-_CE_3,Posto Ale 4,Ale,"Av. Principal, 5955",Bairro 5,Cidade 4,CE,74129-638,-3.884597730874684,-38.64416101267876,"5,90","4,62","5,91",N/A,2025-05-18,ANP
ANP_CE_Cidade_4_-_CE_4,Posto Ipiranga 5,Ipiranga,"Av. Principal, 2906",Bairro 1,Cidade 4,CE,79135-245,-3.662873844549844,-38.96855537237554,"6,30","3,76","4,96",N/A,2025-05-18,ANP
ANP_CE_Cidade_4_-_CE_5,Posto Ipiranga 6,Ipiranga,"Av. Principal, 356",Bairro 6,Cidade 4,CE,10251-591,-4.04064994125106,-38.819702790868575,"6,47","4,12","4,56",N/A,2025-05-18,ANP
ANP_CE_Cidade_4_-_CE_6,Posto Bandeira Branca 7,Bandeira Branca,"Av. Principal, 8906",Bairro 8,Cidade 4,CE,55844-968,-3.2942358690757154,-38.269197252458476,"5,22","4,12","5,76",N/A,2025-05-18,ANP
ANP_CE_Cidade_4_-_CE_7,Posto Shell 8,Shell,"Av. Principal, 8733",Bairro 6,Cidade 4,CE,30613-404,-4.163047339920778,-38.430155841180316,"6,19","4,80","4,63",N/A,2025-05-18,ANP
ANP_CE_Cidade_4_-_CE_8,Posto Raízen 9,Raízen,"Av. Principal, 7742",Bairro 4,Cidade 4,CE,38530-951,-3.2282934579933857,-38.923608650560915,"5,87","4,93","5,03",N/A,2025-05-18,ANP
ANP_CE_Cidade_4_-_CE_9,Posto Raízen 10,Raízen,"Av. Principal, 2044",Bairro 3,Cidade 4,CE,67159-256,-3.2712066968121913,-38.47788707750936,"5,90","3,53","5,03",N/A,2025-05-18,ANP
ANP_CE_Cidade_4_-_CE_10,Posto Ipiranga 11,Ipiranga,"Av. Principal, 2457",Bairro 9,Cidade 4,CE,47503-537,-3.6130868539098606,-38.974613312073366,"5,12","4,64","5,09",N/A,2025-05-18,ANP
ANP_CE_Cidade_4_-_CE_11,Posto Raízen 12,Raízen,"Av. Principal, 1464",Bairro 7,Cidade 4,CE,99784-250,-3.46768607073949,-38.32109511590998,"5,70","3,69","5,71",N/A,2025-05-18,ANP
ANP_CE_Cidade_4_-_CE_12,Posto Ale 13,Ale,"Av. Principal, 6492",Bairro 1,Cidade 4,CE,80293-283,-3.325321629878582,-38.518474737595454,"5,18","3,63","5,86",N/A,2025-05-18,ANP
ANP_CE_Cidade_4_-_CE_13,Posto Bandeira Branca 14,Bandeira Branca,"Av. Principal, 6678",Bairro 2,Cidade 4,CE,33849-971,-3.8670137670283533,-38.08629169900155,"5,50","3,71","4,73",N/A,2025-05-18,ANP
ANP_CE_Cidade_5_-_CE_0,Posto Ipiranga 1,Ipiranga,"Av. Principal, 5850",Bairro 4,Cidade 5,CE,83583-611,-3.2462132749197194,-38.51551744668632,"5,64","4,74","5,53",N/A,2025-05-18,ANP
ANP_CE_Cidade_5_-_CE_1,Posto Bandeira Branca 2,Bandeira Branca,"Av. Principal, 8474",Bairro 8,Cidade 5,CE,43891-102,-3.643617051778478,-38.200804395779116,"5,77","4,32","4,54",N/A,2025-05-18,ANP
ANP_CE_Cidade_5_-_CE_2,Posto Bandeira Branca 3,Bandeira Branca,"Av. Principal, 7793",Bairro 5,Cidade 5,CE,79071-354,-3.663459691908292,-38.12129738264086,"5,96","4,10","4,79",N/A,2025-05-18,ANP
ANP_CE_Cidade_5_-_CE_3,Posto Bandeira Branca 4,Bandeira Branca,"Av. Principal, 8905",Bairro 10,Cidade 5,CE,76446-831,-3.8277042174029985,-38.506724769222,"5,80","4,65","5,40",N/A,2025-05-18,ANP
ANP_CE_Cidade_5_-_CE_4,Posto Ipiranga 5,Ipiranga,"Av. Principal, 6159",Bairro 9,Cidade 5,CE,86405-343,-3.398621396587943,-38.22073417723816,"6,23","3,98","4,85",N/A,2025-05-18,ANP
ANP_CE_Cidade_5_-_CE_5,Posto Shell 6,Shell,"Av. Principal, 3544",Bairro 1,Cidade 5,CE,81135-643,-3.9365337425961084,-38.77942230512515,"5,59","4,27","5,77",N/A,2025-05-18,ANP
ANP_CE_Cidade_5_-_CE_6,Posto Bandeira Branca 7,Bandeira Branca,"Av. Principal, 5572",Bairro 10,Cidade 5,CE,86180-587,-3.5444884729819552,-38.11854303479777,"5,09","4,09","4,53",N/A,2025-05-18,ANP
ANP_CE_Cidade_5_-_CE_7,Posto Raízen 8,Raízen,"Av. Principal, 2868",Bairro 6,Cidade 5,CE,76730-901,-3.5030157125530157,-38.30750631177991,"5,50","4,38","5,85",N/A,2025-05-18,ANP
ANP_CE_Cidade_5_-_CE_8,Posto Bandeira Branca 9,Bandeira Branca,"Av. Principal, 2462",Bairro 3,Cidade 5,CE,93166-992,-3.864975483403234,-38.22359843682459,"5,97","4,91","5,55",N/A,2025-05-18,ANP
ANP_CE_Cidade_5_-_CE_9,Posto Shell 10,Shell,"Av. Principal, 1365",Bairro 1,Cidade 5,CE,98037-761,-4.103878123742296,-38.475908034077726,"5,69","3,81","4,87",N/A,2025-05-18,ANP
ANP_CE_Cidade_5_-_CE_10,Posto Ipiranga 11,Ipiranga,"Av. Principal, 6125",Bairro 5,Cidade 5,CE,78320-245,-4.196987827636355,-38.0551657925283,"6,40","4,02","4,68",N/A,2025-05-18,ANP
ANP_CE_Cidade_5_-_CE_11,Posto Bandeira Branca 12,Bandeira Branca,"Av. Principal, 3806",Bairro 7,Cidade 5,CE,53325-798,-3.716807934763901,-38.21331549916313,"5,77","4,42","5,00",N/A,2025-05-18,ANP
ANP_CE_Cidade_5_-_CE_12,Posto Ipiranga 13,Ipiranga,"Av. Principal, 8158",Bairro 7,Cidade 5,CE,72597-679,-3.416799338634519,-38.14825543022487,"5,68","4,45","4,71",N/A,2025-05-18,ANP
ANP_CE_Cidade_5_-_CE_13,Posto Raízen 14,Raízen,"Av. Principal, 2028",Bairro 4,Cidade 5,CE,61411-276,-4.113862723737364,-38.454981079004874,"5,42","4,50","4,76",N/A,2025-05-18,ANP
ANP_CE_Cidade_5_-_CE_14,Posto Bandeira Branca 15,Bandeira Branca,"Av. Principal, 8617",Bairro 1,Cidade 5,CE,63016-479,-3.9795603403232036,-38.44061010684341,"5,51","4,71","4,59",N/A,2025-05-18,ANP
ANP_CE_Cidade_5_-_CE_15,Posto Bandeira Branca 16,Bandeira Branca,"Av. Principal, 3649",Bairro 4,Cidade 5,CE,76646-489,-3.6933077604225915,-38.19998598675152,"5,55","4,57","4,64",N/A,2025-05-18,ANP
ANP_CE_Cidade_5_-_CE_16,Posto Petrobras 17,Petrobras,"Av. Principal, 4022",Bairro 4,Cidade 5,CE,79253-716,-3.751601200745716,-38.82803633375186,"6,31","4,30","5,22",N/A,2025-05-18,ANP
ANP_CE_Cidade_5_-_CE_17,Posto Ale 18,Ale,"Av. Principal, 5246",Bairro 9,Cidade 5,CE,17236-969,-3.7847990811223178,-38.979409333124366,"5,37","4,60","4,75",N/A,2025-05-18,ANP
ANP_CE_Cidade_5_-_CE_18,Posto Petrobras 19,Petrobras,"Av. Principal, 7664",Bairro 4,Cidade 5,CE,52161-690,-3.441947056114655,-38.33462918508344,"5,71","4,01","5,63",N/A,2025-05-18,ANP
ANP_CE_Cidade_6_-_CE_0,Posto Petrobras 1,Petrobras,"Av. Principal, 9094",Bairro 5,Cidade 6,CE,32257-980,-3.52965458177198,-38.932175728655416,"5,59","4,08","5,55",N/A,2025-05-18,ANP
ANP_CE_Cidade_6_-_CE_1,Posto Ipiranga 2,Ipiranga,"Av. Principal, 6501",Bairro 2,Cidade 6,CE,29257-500,-3.8406737123409,-38.3067092356846,"6,18","3,88","5,23",N/A,2025-05-18,ANP
ANP_CE_Cidade_6_-_CE_2,Posto Shell 3,Shell,"Av. Principal, 4335",Bairro 7,Cidade 6,CE,87348-346,-4.057604991051669,-38.3082560064708,"5,19","4,35","5,31",N/A,2025-05-18,ANP
ANP_CE_Cidade_6_-_CE_3,Posto Ale 4,Ale,"Av. Principal, 5664",Bairro 3,Cidade 6,CE,43267-770,-4.156344570427569,-38.86624907766583,"5,96","3,63","5,05",N/A,2025-05-18,ANP
ANP_CE_Cidade_6_-_CE_4,Posto Ipiranga 5,Ipiranga,"Av. Principal, 4398",Bairro 6,Cidade 6,CE,99953-495,-3.336922642516839,-38.914962456910736,"6,11","3,85","4,91",N/A,2025-05-18,ANP
ANP_CE_Cidade_6_-_CE_5,Posto Raízen 6,Raízen,"Av. Principal, 1220",Bairro 7,Cidade 6,CE,24121-169,-3.465809398268511,-38.57617679904007,"5,88","4,21","5,87",N/A,2025-05-18,ANP
ANP_CE_Cidade_6_-_CE_6,Posto Ale 7,Ale,"Av. Principal, 8476",Bairro 3,Cidade 6,CE,56944-566,-4.163530413014918,-38.418481126861394,"6,40","4,94","4,95",N/A,2025-05-18,ANP
ANP_CE_Cidade_6_-_CE_7,Posto Raízen 8,Raízen,"Av. Principal, 4591",Bairro 2,Cidade 6,CE,32265-101,-4.158943832362682,-38.338067263621646,"5,41","4,27","5,62",N/A,2025-05-18,ANP
ANP_CE_Cidade_6_-_CE_8,Posto Raízen 9,Raízen,"Av. Principal, 2999",Bairro 6,Cidade 6,CE,20485-798,-3.3950644407791026,-38.56721601311406,"6,28","4,23","5,27",N/A,2025-05-18,ANP
ANP_CE_Cidade_6_-_CE_9,Posto Raízen 10,Raízen,"Av. Principal, 611",Bairro 9,Cidade 6,CE,99241-809,-3.5645997493759074,-38.629840881117694,"5,02","3,53","4,53",N/A,2025-05-18,ANP
ANP_CE_Cidade_6_-_CE_10,Posto Raízen 11,Raízen,"Av. Principal, 8757",Bairro 10,Cidade 6,CE,33679-714,-3.535039588781844,-38.60394991771985,"5,65","3,77","4,52",N/A,2025-05-18,ANP
ANP_CE_Cidade_6_-_CE_11,Posto Raízen 12,Raízen,"Av. Principal, 5343",Bairro 6,Cidade 6,CE,72990-374,-3.3923800850615646,-38.95655003428789,"6,02","4,85","5,13",N/A,2025-05-18,ANP
ANP_CE_Cidade_6_-_CE_12,Posto Petrobras 13,Petrobras,"Av. Principal, 8379",Bairro 1,Cidade 6,CE,57190-977,-3.9191759076621002,-39.04309462127448,"6,26","3,80","4,85",N/A,2025-05-18,ANP
ANP_CE_Cidade_6_-_CE_13,Posto Bandeira Branca 14,Bandeira Branca,"Av. Principal, 3600",Bairro 9,Cidade 6,CE,62315-650,-4.066078636299273,-38.78423873378597,"5,01","3,61","5,12",N/A,2025-05-18,ANP
ANP_CE_Cidade_6_-_CE_14,Posto Bandeira Branca 15,Bandeira Branca,"Av. Principal, 2708",Bairro 6,Cidade 6,CE,18636-494,-4.099701813002233,-38.65976332318898,"5,15","3,98","4,75",N/A,2025-05-18,ANP
ANP_CE_Cidade_6_-_CE_15,Posto Petrobras 16,Petrobras,"Av. Principal, 7780",Bairro 8,Cidade 6,CE,35204-737,-3.3212576611819022,-38.499544121159204,"6,02","4,27","4,52",N/A,2025-05-18,ANP
ANP_CE_Cidade_6_-_CE_16,Posto Raízen 17,Raízen,"Av. Principal, 6722",Bairro 3,Cidade 6,CE,13981-598,-3.4856257689190717,-38.277000679115794,"5,76","4,61","5,14",N/A,2025-05-18,ANP
ANP_CE_Cidade_6_-_CE_17,Posto Raízen 18,Raízen,"Av. Principal, 7921",Bairro 1,Cidade 6,CE,96861-534,-3.703177884095485,-38.13262134939129,"6,00","3,92","4,83",N/A,2025-05-18,ANP
ANP_CE_Cidade_6_-_CE_18,Posto Ipiranga 19,Ipiranga,"Av. Principal, 166",Bairro 10,Cidade 6,CE,41579-883,-3.4510293739327618,-38.940141474611146,"5,08","3,96","5,71",N/A,2025-05-18,ANP
ANP_CE_Cidade_6_-_CE_19,Posto Raízen 20,Raízen,"Av. Principal, 680",Bairro 3,Cidade 6,CE,25803-356,-4.12145910878878,-39.0074370815952,"6,40","3,66","5,69",N/A,2025-05-18,ANP
ANP_CE_Cidade_7_-_CE_0,Posto Bandeira Branca 1,Bandeira Branca,"Av. Principal, 2928",Bairro 4,Cidade 7,CE,86877-715,-3.8976860766351913,-38.73870048057437,"5,30","4,24","5,05",N/A,2025-05-18,ANP
ANP_CE_Cidade_7_-_CE_1,Posto Petrobras 2,Petrobras,"Av. Principal, 6237",Bairro 7,Cidade 7,CE,23720-387,-3.7668115345432325,-38.19659067191575,"6,03","4,38","5,98",N/A,2025-05-18,ANP
ANP_CE_Cidade_7_-_CE_2,Posto Shell 3,Shell,"Av. Principal, 1064",Bairro 4,Cidade 7,CE,28032-271,-3.4665144332620117,-38.074974862288826,"5,54","4,62","5,59",N/A,2025-05-18,ANP
ANP_CE_Cidade_7_-_CE_3,Posto Raízen 4,Raízen,"Av. Principal, 2474",Bairro 4,Cidade 7,CE,75866-863,-4.1461127188296425,-38.97616764893972,"5,45","4,67","5,81",N/A,2025-05-18,ANP
ANP_CE_Cidade_7_-_CE_4,Posto Shell 5,Shell,"Av. Principal, 4833",Bairro 9,Cidade 7,CE,89099-544,-4.045966353430101,-38.88930552297252,"6,23","4,41","5,51",N/A,2025-05-18,ANP
ANP_CE_Cidade_7_-_CE_5,Posto Ipiranga 6,Ipiranga,"Av. Principal, 3644",Bairro 7,Cidade 7,CE,95364-728,-4.037879766591998,-38.51196314648871,"6,33","3,79","4,59",N/A,2025-05-18,ANP
ANP_CE_Cidade_7_-_CE_6,Posto Ale 7,Ale,"Av. Principal, 5350",Bairro 8,Cidade 7,CE,48839-511,-3.9908981002347983,-38.60106675298282,"5,65","3,51","5,94",N/A,2025-05-18,ANP
ANP_CE_Cidade_7_-_CE_7,Posto Bandeira Branca 8,Bandeira Branca,"Av. Principal, 2028",Bairro 7,Cidade 7,CE,98783-915,-3.639163793147239,-38.90559776705639,"5,98","4,78","5,80",N/A,2025-05-18,ANP
ANP_CE_Cidade_7_-_CE_8,Posto Shell 9,Shell,"Av. Principal, 9084",Bairro 4,Cidade 7,CE,55694-683,-3.227318992999212,-38.90826932581911,"6,11","4,79","4,68",N/A,2025-05-18,ANP
ANP_CE_Cidade_8_-_CE_0,Posto Ale 1,Ale,"Av. Principal, 5062",Bairro 10,Cidade 8,CE,55008-845,-4.046231815875042,-38.40653861213804,"5,82","3,99","5,83",N/A,2025-05-18,ANP
ANP_CE_Cidade_8_-_CE_1,Posto Raízen 2,Raízen,"Av. Principal, 3959",Bairro 5,Cidade 8,CE,99583-699,-3.319489668102578,-38.18205281787731,"5,46","4,91","5,25",N/A,2025-05-18,ANP
ANP_CE_Cidade_8_-_CE_2,Posto Raízen 3,Raízen,"Av. Principal, 9337",Bairro 6,Cidade 8,CE,70166-720,-4.041956391021284,-38.941525997198646,"5,82","3,74","4,63",N/A,2025-05-18,ANP
ANP_CE_Cidade_8_-_CE_3,Posto Raízen 4,Raízen,"Av. Principal, 199",Bairro 10,Cidade 8,CE,94728-733,-3.5965094539721023,-38.54690653626921,"5,77","4,95","4,88",N/A,2025-05-18,ANP
ANP_CE_Cidade_8_-_CE_4,Posto Ale 5,Ale,"Av. Principal, 7441",Bairro 1,Cidade 8,CE,11873-380,-4.217102147989636,-38.629598757803755,"5,68","4,39","4,54",N/A,2025-05-18,ANP
ANP_CE_Cidade_8_-_CE_5,Posto Petrobras 6,Petrobras,"Av. Principal, 2565",Bairro 10,Cidade 8,CE,16578-340,-3.4240423936616136,-38.44255410948167,"5,49","4,38","5,82",N/A,2025-05-18,ANP
ANP_CE_Cidade_8_-_CE_6,Posto Raízen 7,Raízen,"Av. Principal, 9106",Bairro 8,Cidade 8,CE,77632-688,-3.691334666472617,-38.98264846034768,"5,36","4,39","5,94",N/A,2025-05-18,ANP
ANP_CE_Cidade_8_-_CE_7,Posto Ale 8,Ale,"Av. Principal, 4168",Bairro 6,Cidade 8,CE,58468-970,-3.771853941545127,-38.852766407508945,"5,03","4,52","4,98",N/A,2025-05-18,ANP
ANP_CE_Cidade_8_-_CE_8,Posto Ipiranga 9,Ipiranga,"Av. Principal, 9608",Bairro 8,Cidade 8,CE,79323-313,-3.2464605664500334,-38.85648421209659,"5,91","4,88","5,50",N/A,2025-05-18,ANP
ANP_CE_Cidade_9_-_CE_0,Posto Petrobras 1,Petrobras,"Av. Principal, 1875",Bairro 5,Cidade 9,CE,38098-212,-3.413014450647192,-38.53303322537436,"5,04","4,80","5,78",N/A,2025-05-18,ANP
ANP_CE_Cidade_9_-_CE_1,Posto Petrobras 2,Petrobras,"Av. Principal, 6214",Bairro 9,Cidade 9,CE,87566-675,-4.183544621552865,-38.56285248336673,"5,43","4,22","5,91",N/A,2025-05-18,ANP
ANP_CE_Cidade_9_-_CE_2,Posto Ipiranga 3,Ipiranga,"Av. Principal, 5099",Bairro 6,Cidade 9,CE,79142-481,-3.714622086485175,-38.34186423905854,"6,13","4,65","4,80",N/A,2025-05-18,ANP
ANP_CE_Cidade_9_-_CE_3,Posto Raízen 4,Raízen,"Av. Principal, 8041",Bairro 4,Cidade 9,CE,67854-227,-3.8570481253098685,-38.33430539012009,"5,62","4,99","5,44",N/A,2025-05-18,ANP
ANP_CE_Cidade_9_-_CE_4,Posto Ale 5,Ale,"Av. Principal, 1243",Bairro 8,Cidade 9,CE,55527-343,-3.5320431946092126,-38.33675332534687,"5,51","4,41","5,67",N/A,2025-05-18,ANP
ANP_CE_Cidade_9_-_CE_5,Posto Petrobras 6,Petrobras,"Av. Principal, 7204",Bairro 7,Cidade 9,CE,50661-525,-3.666578569225397,-38.838063430522,"5,09","4,01","4,61",N/A,2025-05-18,ANP
ANP_CE_Cidade_9_-_CE_6,Posto Raízen 7,Raízen,"Av. Principal, 2673",Bairro 9,Cidade 9,CE,86692-185,-3.7325274838815963,-38.225971607156914,"5,29","3,72","4,62",N/A,2025-05-18,ANP
ANP_CE_Cidade_10_-_CE_0,Posto Bandeira Branca 1,Bandeira Branca,"Av. Principal, 6892",Bairro 2,Cidade 10,CE,85117-786,-4.10487757722667,-38.09754951778114,"5,20","3,92","5,27",N/A,2025-05-18,ANP
ANP_CE_Cidade_10_-_CE_1,Posto Petrobras 2,Petrobras,"Av. Principal, 7916",Bairro 6,Cidade 10,CE,79615-253,-4.120831198933573,-38.638400226390495,"5,21","4,85","4,68",N/A,2025-05-18,ANP
ANP_CE_Cidade_10_-_CE_2,Posto Ale 3,Ale,"Av. Principal, 540",Bairro 2,Cidade 10,CE,37359-898,-4.143028186570446,-38.65245847563616,"5,32","3,88","4,60",N/A,2025-05-18,ANP
